date,amount,category,description
2024-07-01,1000,Income,Salary
2024-07-02,50,Expense,Groceries
2024-07-03,150,Expense,Utilities
2024-07-04,200,Income,Freelance Work
2024-07-05,75,Expense,Restaurant
2024-07-06,100,Expense,Transport
2024-07-07,500,Income,Bonus
2024-07-08,30,Expense,Snacks
2024-07-09,250,Income,Stock Dividends
2024-07-10,90,Expense,Entertainment
2024-07-11,60,Expense,Coffee
2024-07-12,120,Expense,Gas
2024-07-13,80,Expense,Books
2024-07-14,150,Expense,Clothing
2024-07-15,1100,Income,Salary
2024-07-16,40,Expense,Stationery
2024-07-17,180,Expense,Utilities
2024-07-18,250,Income,Freelance Work
2024-07-19,70,Expense,Restaurant
2024-07-20,130,Expense,Transport
2024-07-21,600,Income,Bonus
2024-07-22,35,Expense,Snacks
2024-07-23,300,Income,Stock Dividends
2024-07-24,100,Expense,Entertainment
2024-07-25,55,Expense,Coffee
2024-07-26,140,Expense,Gas
2024-07-27,90,Expense,Books
2024-07-28,170,Expense,Clothing
2024-07-30,100.0,Income,salary
2024-07-29,50.0,Expense,shopping
2024-08-11,20.0,Expense,coffee
2024-09-11,100.0,Income,salary
2024-09-12,100.0,Income,salary
2024-08-14,20.0,Expense,ice coffee
2024-09-16,20.0,Expense,coffee
2024-01-01,100.0,Income,salary
2024-01-02,50.0,Expense,shopping
2024-01-03,100.0,Income,salary
2024-01-04,20.0,Expense,juice
2024-01-05,10.0,Expense,sandwish
